regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
34,0.00014981990545845098,3474574465.475242,520560.4179258486,-625698669.941504,bajo,alto,bajo,bajo,bajo,alto,bajo,1015732.3201352103,-2498065377.0279336,6601357.945962385,2332506218.9574676,322921.1363837415,-3224547.8294982547,-14067322.395666476
62,0.000930358436228646,558948325.5676677,520022.29010775546,-460887795.0362076,bajo,alto,alto,alto,alto,alto,bajo,-28908.39813662009,-257780511.45069435,-27909.99663017958,183179753.40839145,9237.829974180655,-228063.06082260812,-56446.97433049546
82,0.06622088867092876,7531598.908908433,498749.1728609139,-1112550.8984513697,alto,bajo,alto,bajo,bajo,alto,bajo,41.136629335727775,-4660035.59910387,-212.2006219413597,5811306.285585476,-44.555657802615315,-83.32740248879418,-193.84308550786227
103,0.0004823952028969108,926062611.9525357,446728.16158808663,153476043.98004296,alto,alto,bajo,bajo,alto,alto,alto,262315.6770154326,659010801.0939988,-441714.68210750655,-632243403.3568393,-181471.55669306035,-2216604.5392368766,-2213130.0936691915
93,0.0006956142334769278,603110992.6739547,419532.590870402,-65576076.93117087,alto,bajo,alto,alto,alto,bajo,alto,-68022.30315864568,-395447380.37115633,-59681.725475727595,450626135.69205636,62253.05993578152,-1809.386374181502,-301230.2363506164
63,0.0013155945244759473,318208735.3902575,418633.6699198383,-265548207.67665896,bajo,alto,alto,alto,alto,alto,alto,23460.677853478323,-142370262.79228786,19492.523607334682,102330924.92569432,-13465.110396403308,183440.28456630488,-63187.64642157147
64,0.009787679647030253,38397369.188414596,375821.1489049521,8946413.331166998,alto,bajo,bajo,bajo,bajo,bajo,bajo,-28713.498562636785,22104347.05034271,-32173.515415160684,-30095075.514938753,-8888.325498211663,24814.760072455276,36958.797680979245
119,0.0178901071215839,19582695.027196143,350336.5117658474,4001198.536795849,alto,alto,alto,bajo,alto,alto,alto,-1345.2747568526393,-12033248.085582387,2009.1219691512524,14922228.922803191,-1812.4740538724,8435.757574422983,17291.33296531284
55,0.0024592344988536006,131793848.69465356,324111.9794465836,-5323920.826064121,bajo,alto,alto,bajo,alto,alto,alto,55577.61018426376,-87684495.30146919,25962.2116695555,98247333.95812234,-72396.27578896498,231198.3645118352,-320340.1678712053
126,0.018273722215388533,17508337.050192848,319942.48770861916,14557726.54863589,alto,alto,alto,alto,alto,alto,bajo,211.80241138741258,7921070.096900115,-235.00801412237342,-5645450.515601442,320.0271338733728,-889.3019403764629,-28.69117485699826
