regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
24,0.0020515756070688105,0.577273032712809,0.0011843192725322345,-0.00523006121322972,bajo,bajo,alto,alto,bajo,bajo,bajo,-0.5742582846108608,-0.0031577384119044717,-0.004339289483590004,-0.004068775996015618,-0.05551560409048848,-0.010928178027835137,0.014052055265874705
31,0.001855084143420449,0.5209795952470482,0.0009664609861884026,0.0060308149439889285,bajo,bajo,alto,alto,alto,alto,alto,0.5025838058370453,0.003283703626623607,0.0039923310621340575,0.004537762960825932,0.0947768496563159,0.015933265184700823,-0.09751437414818806
15,0.0018808968353415895,0.48544814565980887,0.0009130778808939774,0.0057535157956549125,bajo,bajo,bajo,alto,alto,alto,alto,0.37108208548605726,0.003093837860483998,0.003746865519269205,0.004301325569987377,0.09324872444775932,0.015485934483050691,-0.2982408992715816
10,0.0004885533505910304,1.098965248320111,0.0005369031542498939,-7.588669656861534e-05,bajo,bajo,bajo,alto,bajo,alto,bajo,0.2937850185323679,-0.00012383621286002108,-0.00012905934624147787,-0.00011102984901878283,0.005102846029750042,0.0007128642286043909,1.0589562703955566
26,0.0004656394729096624,1.0913919056293564,0.0005081951516751255,-2.879466155338256e-05,bajo,bajo,alto,alto,bajo,alto,bajo,0.2965204844488703,-9.424326690711621e-05,-8.894520051194437e-05,-7.360991559773108e-05,0.005540873230186519,0.0007999567466631834,1.0503240117830028
119,0.000993303561284516,0.4199591224087592,0.00041714689188254044,0.0010234568924509487,alto,alto,alto,bajo,alto,alto,alto,-0.28265351959232643,0.0002784888388682401,0.0005978898588736635,0.0005481448060362659,-0.008280296452329309,0.005222266957901362,-0.3104432863178582
103,0.0009655652629864245,0.4249721805700047,0.0004103383752939908,0.0009273662273987866,alto,alto,bajo,bajo,alto,alto,alto,-0.2564559963836539,0.00024252788531770646,0.0005320494703447753,0.0004890768412228952,-0.008257787151370856,0.004795367154557634,-0.33873152862084926
69,0.000782024283570106,0.47990740131964116,0.0003752992416969837,0.002109884718544897,alto,bajo,bajo,bajo,alto,bajo,alto,0.1153264605285308,0.0005952102367852045,0.0013782230995968282,0.0011475677525884652,0.01663110450150893,0.008724963627545568,0.4654569587154968
85,0.0008034892975810192,0.43650345538482416,0.0003507258547588401,0.002213720268143876,alto,bajo,alto,bajo,alto,bajo,alto,0.06824925105913147,0.000638164562543355,0.0014548124982354162,0.0012146699902301364,0.015915243381306655,0.009122586781398864,0.43073412915308185
117,0.0008400458489255526,0.29895766894398085,0.0002511381488008507,-0.0005071931255293059,alto,alto,alto,bajo,alto,bajo,alto,-0.17113203881314945,-0.0003876986552289288,-0.0004893434148296188,-0.00046071779886029847,0.0001597465106241871,-0.000509912511433234,-0.24512928896681221
